menu_id,tag
batch-04-013,sarapan
batch-04-013,tkpi-terukur
batch-04-014,batch-04
batch-04-014,sarapan
batch-04-014,tkpi-terukur
batch-04-015,batch-04
batch-04-015,sarapan
batch-04-015,tkpi-terukur
batch-04-016,batch-04
batch-04-016,makan-siang
batch-04-016,tkpi-terukur
batch-04-017,batch-04
batch-04-017,makan-siang
batch-04-017,tkpi-terukur
batch-04-018,batch-04
batch-04-018,makan-siang
batch-04-018,tkpi-terukur
batch-04-019,batch-04
batch-04-019,makan-siang
batch-04-019,tkpi-terukur
batch-04-020,batch-04
batch-04-020,makan-siang
batch-04-020,tkpi-terukur
batch-04-021,batch-04
batch-04-021,makan-siang
batch-04-021,tkpi-terukur
batch-04-022,batch-04
batch-04-022,makan-siang
batch-04-022,tkpi-terukur
batch-04-023,batch-04
batch-04-023,makan-siang
batch-04-023,tkpi-terukur
batch-04-024,batch-04
batch-04-024,makan-siang
batch-04-024,tkpi-terukur
batch-04-025,batch-04
batch-04-025,makan-siang
batch-04-025,tkpi-terukur
batch-04-026,batch-04
batch-04-026,makan-siang
batch-04-026,tkpi-terukur
batch-04-027,batch-04
batch-04-027,makan-siang
batch-04-027,tkpi-terukur
batch-04-028,batch-04
batch-04-028,makan-siang
batch-04-028,tkpi-terukur
batch-04-029,batch-04
batch-04-029,makan-siang
batch-04-029,tkpi-terukur
batch-04-030,batch-04
batch-04-030,makan-siang
batch-04-030,tkpi-terukur
batch-04-031,batch-04
batch-04-031,makan-siang
batch-04-031,tkpi-terukur
batch-04-032,batch-04
batch-04-032,makan-siang
batch-04-032,tkpi-terukur
batch-04-033,batch-04
batch-04-033,makan-siang
batch-04-033,tkpi-terukur
batch-04-034,batch-04
batch-04-034,makan-malam
batch-04-034,tkpi-terukur
batch-04-035,batch-04
batch-04-035,makan-malam
batch-04-035,tkpi-terukur
batch-04-036,batch-04
batch-04-036,makan-malam
batch-04-036,tkpi-terukur
batch-04-037,batch-04
batch-04-037,makan-malam
batch-04-037,tkpi-terukur
batch-04-038,batch-04
batch-04-038,makan-malam
batch-04-038,tkpi-terukur
batch-04-039,batch-04
batch-04-039,makan-malam
batch-04-039,tkpi-terukur
batch-04-040,batch-04
batch-04-040,makan-malam
batch-04-040,tkpi-terukur
batch-04-041,batch-04
batch-04-041,makan-malam
batch-04-041,tkpi-terukur
batch-04-042,batch-04
batch-04-042,makan-malam
batch-04-042,tkpi-terukur
batch-04-043,batch-04
batch-04-043,makan-malam
batch-04-043,tkpi-terukur
batch-04-044,batch-04
batch-04-044,makan-malam
batch-04-044,tkpi-terukur
batch-04-045,batch-04
batch-04-045,makan-malam
batch-04-045,tkpi-terukur
batch-04-046,batch-04
batch-04-046,makan-malam
batch-04-046,tkpi-terukur
batch-04-047,batch-04
batch-04-047,makan-malam
batch-04-047,tkpi-terukur
batch-04-048,batch-04
batch-04-048,makan-malam
batch-04-048,tkpi-terukur
batch-04-049,batch-04
batch-04-049,makan-malam
batch-04-049,tkpi-terukur
batch-04-050,batch-04
batch-04-050,makan-malam
batch-04-050,tkpi-terukur
batch-04-051,batch-04
batch-04-051,makan-malam
batch-04-051,tkpi-terukur
batch-04-052,batch-04
batch-04-052,camilan
batch-04-052,tkpi-terukur
batch-04-053,batch-04
batch-04-053,camilan
batch-04-053,tkpi-terukur
batch-04-054,batch-04
batch-04-054,camilan
batch-04-054,tkpi-terukur
batch-04-055,batch-04
batch-04-055,camilan
batch-04-055,tkpi-terukur
batch-04-056,batch-04
batch-04-056,camilan
batch-04-056,tkpi-terukur
batch-04-057,batch-04
batch-04-057,camilan
batch-04-057,tkpi-terukur
batch-04-058,batch-04
batch-04-058,camilan
batch-04-058,tkpi-terukur
batch-04-059,batch-04
batch-04-059,camilan
batch-04-059,tkpi-terukur
batch-04-060,batch-04
batch-04-060,camilan
batch-04-060,tkpi-terukur
batch-05-001,batch-05
batch-05-001,sarapan
batch-05-001,tkpi-terukur
batch-05-002,batch-05
batch-05-002,sarapan
batch-05-002,tkpi-terukur
batch-05-003,batch-05
batch-05-003,sarapan
batch-05-003,tkpi-terukur
