rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,params
40,0.9327262241321634,0.02080541929599002,0.9752453812273846,0.002708460826899462,0.021486568450927734,0.006455835194810897,0.013296794891357423,0.0067617008353344586,,entropy,,4,5,0.8931497683123114,0.949020737327189,0.9491379310344827,0.9406097210238712,0.931712962962963,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}"
40,0.9327262241321634,0.02080541929599002,0.9752453812273846,0.002708460826899462,0.024134492874145506,0.005294316507483445,0.015973567962646484,0.00716162637035266,,entropy,15,4,2,0.8931497683123114,0.949020737327189,0.9491379310344827,0.9406097210238712,0.931712962962963,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}"
40,0.9327262241321634,0.02080541929599002,0.9752453812273846,0.002708460826899462,0.05090045928955078,0.018973078886361176,0.040868282318115234,0.02904445454474089,,entropy,15,4,5,0.8931497683123114,0.949020737327189,0.9491379310344827,0.9406097210238712,0.931712962962963,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}"
44,0.931667004223837,0.013622225848721765,0.9782277349749329,0.0026910778897551095,0.024243831634521484,0.05940416891077757,0.0012857913970947266,0.052713214539664814,balanced,entropy,,2,10,0.9101184194483483,0.93529800685569,0.9491379310344827,0.9233766233766234,0.9404040404040404,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}"
44,0.931667004223837,0.013622225848721765,0.9782277349749329,0.0026910778897551095,0.02837681770324707,0.007314641018619611,0.01499485969543457,0.002873647283179758,balanced,entropy,15,2,10,0.9101184194483483,0.93529800685569,0.9491379310344827,0.9233766233766234,0.9404040404040404,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}"
46,0.9310537701683319,0.02032906030908204,0.9826261827589331,0.0036452053939931596,0.03307771682739258,0.006153832982581646,0.015579843521118164,0.0034307163465530496,balanced,gini,,1,10,0.9101184194483483,0.931712962962963,0.9491379310344827,0.9066724187517975,0.9576271186440678,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}"
46,0.9310537701683319,0.02032906030908204,0.9826261827589331,0.0036452053939931596,0.03134031295776367,0.004245834351507035,0.018245744705200195,0.0025973067861054092,balanced,gini,15,1,10,0.9101184194483483,0.931712962962963,0.9491379310344827,0.9066724187517975,0.9576271186440678,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}"
48,0.9310537701683318,0.02247343205091694,1.0,0.0,0.1502514362335205,0.0379497332089521,0.02777891159057617,0.014171208853724367,,gini,,1,2,0.8931497683123114,0.931712962962963,0.9491379310344827,0.9236410698878343,0.9576271186440678,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}"
48,0.9310537701683318,0.02247343205091694,1.0,0.0,0.05658459663391113,0.028368090854917934,0.018428468704223634,0.008920641617265284,,gini,15,1,2,0.8931497683123114,0.931712962962963,0.9491379310344827,0.9236410698878343,0.9576271186440678,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}"
50,0.930967442097006,0.02765699022632053,0.9815990065039217,0.0036112363134707557,0.057642221450805664,0.021437932271693865,0.03407144546508789,0.01776887041501493,,entropy,10,2,2,0.8840467940049583,0.9660919540229885,0.9491379310344827,0.9233766233766234,0.9321839080459771,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}"
50,0.930967442097006,0.02765699022632053,0.9799032237318022,0.003822177131302312,0.05803694725036621,0.021571446310962458,0.018686676025390626,0.008013501341499876,,entropy,10,2,5,0.8840467940049583,0.9660919540229885,0.9491379310344827,0.9233766233766234,0.9321839080459771,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}"
52,0.9300314474448784,0.024172766396011156,0.979072269605871,0.0032740384784356344,0.04728631973266602,0.01366888108994314,0.025188541412353514,0.005491802715370429,balanced,entropy,10,2,5,0.8847532116294794,0.9523692235514896,0.9491379310344827,0.931712962962963,0.9321839080459771,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}"
53,0.9300249563618734,0.011085936444569443,0.9744140313465574,0.004175310537550604,0.034593629837036136,0.00890432631910449,0.017261171340942384,0.0050525287911714805,balanced,gini,10,2,10,0.927087070584385,0.9266813099325415,0.9321839080459771,0.9150345622119815,0.9491379310344827,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}"
54,0.9293552928224225,0.01378796398191133,0.9727027953181195,0.0035434332494585856,0.06466755867004395,0.02661372284814428,0.03623347282409668,0.014858630538209822,,gini,,4,2,0.9101184194483483,0.9404040404040404,0.9406097210238712,0.9150345622119815,0.9406097210238712,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}"
54,0.9293552928224225,0.01378796398191133,0.9727027953181195,0.0035434332494585856,0.06637096405029297,0.04070927807423902,0.024220705032348633,0.012462914231839558,,gini,,4,5,0.9101184194483483,0.9404040404040404,0.9406097210238712,0.9150345622119815,0.9406097210238712,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}"
